date_index,day_of_week,day_of_year,is_weekend,is_holiday,product,category,unit_cost,price,discount_rate,effective_price,competitor_price,price_gap_pct,marketing_spend,visibility_index,units_sold,revenue,profit,margin_pct
0,0,0,0,0,AlphaWatch,Wearables,40,83.42,0.145,71.32,76.42,-6.67,2.03,0.559,3,213.97,93.97,43.92
0,0,0,0,0,BetaBuds,Audio,25,50.07,0.108,44.66,44.39,0.61,11.7,0.5,4,178.65,78.65,44.02
0,0,0,0,0,GammaBand,Wearables,18,39.68,0.147,33.85,35.56,-4.82,31.8,0.675,59,1996.98,934.98,46.82
0,0,0,0,0,DeltaDock,Accessories,30,70.83,0.073,65.66,64.27,2.16,24.96,0.509,2,131.32,71.32,54.31
0,0,0,0,0,EpsilonCam,Imaging,55,99.43,0.026,96.84,89.21,8.56,59.99,0.798,6,581.07,251.07,43.21
0,0,0,0,0,ZetaHub,Accessories,22,60.12,0.13,52.3,53.05,-1.41,57.46,1.133,18,941.48,545.48,57.94
0,0,0,0,0,EtaDesk,Furniture,80,203.4,0.03,197.3,180.71,9.18,12.66,0.782,3,591.89,351.89,59.45
0,0,0,0,0,ThetaMat,Accessories,15,38.13,0.176,31.42,47.31,-33.59,23.15,0.5,39,1225.35,640.35,52.26
1,1,1,0,0,AlphaWatch,Wearables,40,106.59,0.034,102.97,114.3,-9.92,8.83,0.542,2,205.93,125.93,61.15
1,1,1,0,0,BetaBuds,Audio,25,49.86,0.033,48.21,59.38,-18.8,76.98,1.036,23,1108.94,533.94,48.15
1,1,1,0,0,GammaBand,Wearables,18,28.7,0.032,27.78,27.66,0.44,4.34,0.604,25,694.54,244.54,35.21
1,1,1,0,0,DeltaDock,Accessories,30,78.55,0.192,63.47,74.52,-14.83,1.28,0.52,1,63.47,33.47,52.73
1,1,1,0,0,EpsilonCam,Imaging,55,108.46,0.074,100.43,101.36,-0.91,37.92,0.7,3,301.3,136.3,45.24
1,1,1,0,0,ZetaHub,Accessories,22,49.64,0.06,46.66,41.2,13.26,30.39,0.521,9,419.95,221.95,52.85
1,1,1,0,0,EtaDesk,Furniture,80,216.45,0.093,196.32,189.92,3.37,87.93,1.179,8,1570.56,930.56,59.25
1,1,1,0,0,ThetaMat,Accessories,15,30.94,0.069,28.81,32.32,-10.88,14.61,0.7,44,1267.43,607.43,47.93
2,2,2,0,0,AlphaWatch,Wearables,40,79.19,0.032,76.66,70.11,9.34,3.64,0.557,3,229.97,109.97,47.82
2,2,2,0,0,BetaBuds,Audio,25,53.25,0.243,40.31,54.91,-26.59,64.33,1.159,30,1209.31,459.31,37.98
2,2,2,0,0,GammaBand,Wearables,18,51.18,0.059,48.16,54.09,-10.96,53.85,1.359,22,1059.53,663.53,62.62
2,2,2,0,0,DeltaDock,Accessories,30,52.16,0.113,46.27,62.95,-26.5,104.64,1.338,14,647.72,227.72,35.16
2,2,2,0,0,EpsilonCam,Imaging,55,150.01,0.041,143.86,150.06,-4.13,64.76,0.901,4,575.44,355.44,61.77
2,2,2,0,0,ZetaHub,Accessories,22,41.84,0.1,37.66,44.98,-16.28,45.9,1.045,34,1280.3,532.3,41.58
2,2,2,0,0,EtaDesk,Furniture,80,213.52,0.138,184.05,221.59,-16.94,54.43,1.153,8,1472.43,832.43,56.53
2,2,2,0,0,ThetaMat,Accessories,15,27.83,0.015,27.41,28.44,-3.61,26.6,0.825,41,1123.91,508.91,45.28
