date_index,product,price,competitor_price,marketing_spend,visibility_index,units_sold,revenue,profit,unit_cost
0,AlphaWatch,81.13,81.45,152.33,0.768,6,486.81,246.81,40
1,AlphaWatch,77.49,55.66,46.03,1.023,4,309.95,149.95,40
2,AlphaWatch,74.88,71.98,38.51,1.073,5,374.38,174.38,40
3,AlphaWatch,84.06,63.82,4.36,1.023,1,84.06,44.06,40
4,AlphaWatch,83.67,78.5,26.41,0.553,6,502.03,262.03,40
5,AlphaWatch,86.8,70.35,8.89,0.824,1,86.8,46.8,40
6,AlphaWatch,91.18,71.17,64.47,1.278,4,364.71,204.71,40
7,AlphaWatch,96.99,89.4,33.94,0.857,5,484.94,284.94,40
8,AlphaWatch,75.15,64.01,14.14,1.328,3,225.45,105.45,40
9,AlphaWatch,68.88,98.09,64.06,0.774,7,482.18,202.18,40
10,AlphaWatch,91.73,93.37,14.9,0.508,1,91.73,51.73,40
11,AlphaWatch,81.77,85.25,18.18,1.441,2,163.54,83.54,40
12,AlphaWatch,91.07,102.7,32.69,1.373,1,91.07,51.07,40
13,AlphaWatch,66.78,55.42,7.74,1.035,2,133.55,53.55,40
14,AlphaWatch,69.37,63.56,14.65,0.776,4,277.49,117.49,40
15,AlphaWatch,96.19,102.08,49.14,1.156,3,288.56,168.56,40
16,AlphaWatch,93.42,52.95,53.32,0.688,1,93.42,53.42,40
17,AlphaWatch,79.02,78.9,31.55,1.13,2,158.05,78.05,40
18,AlphaWatch,79.31,84.21,29.89,1.347,6,475.83,235.83,40
19,AlphaWatch,75.95,57.04,21.73,1.062,4,303.78,143.78,40
20,AlphaWatch,78.45,78.88,19.24,1.389,0,0.0,0.0,40
21,AlphaWatch,86.12,93.4,16.59,0.665,1,86.12,46.12,40
22,AlphaWatch,64.95,83.57,38.32,1.024,1,64.95,24.95,40
23,AlphaWatch,74.79,59.46,20.22,1.438,1,74.79,34.79,40
24,AlphaWatch,70.86,57.62,26.93,1.109,6,425.18,185.18,40
25,AlphaWatch,83.8,66.01,59.16,0.977,1,83.8,43.8,40
26,AlphaWatch,95.27,71.53,25.58,0.552,2,190.54,110.54,40
27,AlphaWatch,71.26,89.78,28.24,1.241,1,71.26,31.26,40
28,AlphaWatch,70.52,91.82,39.53,0.997,6,423.09,183.09,40
29,AlphaWatch,74.83,66.47,4.01,1.429,3,224.5,104.5,40
30,AlphaWatch,84.74,97.91,35.92,1.49,6,508.45,268.45,40
31,AlphaWatch,104.85,93.56,2.06,1.481,0,0.0,0.0,40
32,AlphaWatch,80.79,100.11,3.27,1.45,2,161.58,81.58,40
33,AlphaWatch,105.9,98.88,20.99,0.959,5,529.52,329.52,40
34,AlphaWatch,69.27,57.91,6.2,1.075,3,207.81,87.81,40
35,AlphaWatch,89.33,58.33,13.07,1.02,6,535.96,295.96,40
36,AlphaWatch,60.04,68.4,21.8,1.299,2,120.08,40.08,40
37,AlphaWatch,92.18,50.63,22.27,1.461,3,276.53,156.53,40
38,AlphaWatch,86.71,87.71,8.31,0.838,2,173.41,93.41,40
39,AlphaWatch,70.98,60.62,0.21,0.817,3,212.95,92.95,40
40,AlphaWatch,86.67,101.26,11.07,0.51,5,433.36,233.36,40
41,AlphaWatch,57.02,61.73,60.87,1.363,7,399.12,119.12,40
42,AlphaWatch,56.61,53.56,14.74,1.411,1,56.61,16.61,40
43,AlphaWatch,77.17,64.8,14.21,1.159,1,77.17,37.17,40
44,AlphaWatch,66.88,60.39,17.95,1.456,6,401.27,161.27,40
45,AlphaWatch,71.95,80.24,33.36,0.95,5,359.75,159.75,40
